Policy_Num,Claim_Dt,Accident_Dt,Claim_Amt,Policy_Type,Gender,State,Claims_FB
186100678,12/28/2019,12/11/2019,797.45,Truck,Male,OR,good
186317414,6/14/2019,5/23/2019,1109.14,Truck,Male,CA,good
182700800,9/5/2019,8/1/2019,1248.01,Van,Male,CA,excellent
190486654,8/19/2019,7/27/2019,1030.27,Van,Male,CA,neutral
193532836,11/10/2019,11/7/2019,1258.6,Car,Male,CA,good
196809998,6/19/2019,6/1/2019,1157.46,Car,Male,CA,neutral
183142008,12/30/2019,12/14/2019,1202.53,Truck,Male,CA,good
192981834,3/11/2019,2/19/2019,925.78,Truck,Male,OR,good
193889273,7/20/2019,7/13/2019,869.73,Truck,Male,CA,good
194452470,7/28/2019,6/25/2019,1287.24,Van,Male,CA,neutral
186542540,1/12/2019,1/6/2019,858.04,Car,Male,OR,bad
195522233,7/6/2019,7/1/2019,1168.87,Car,Female,CA,neutral
184161847,8/12/2019,7/9/2019,1164.2,Truck,Female,CA,very_good
197701166,12/12/2019,12/3/2019,774.22,Truck,Male,CA,excellent
184801062,1/16/2019,12/15/2018,1163.81,Car,Male,OR,excellent
180354301,1/12/2019,12/27/2018,1341.02,Truck,Male,NV,excellent
189482982,10/21/2019,9/26/2019,1047.22,Car,Male,NV,excellent
182955448,4/20/2019,4/6/2019,839.31,Truck,Female,CA,good
195968919,8/18/2019,7/30/2019,865.33,Car,Male,CA,neutral
189874882,12/30/2019,12/18/2019,1043.42,Truck,Male,OR,very_good
196538358,8/26/2019,8/21/2019,1255.77,Van,Male,OR,good
188545292,11/10/2019,10/30/2019,921.04,Car,Female,NV,good
199182185,7/27/2019,7/6/2019,1300.63,Truck,Male,OR,very_good
196099653,7/11/2019,6/22/2019,1321.24,Car,Female,NV,very_good
187117581,5/16/2019,4/16/2019,1147.55,Car,Male,CA,good
181620202,11/26/2019,11/24/2019,1052.05,Van,Male,NV,good
188461777,9/14/2019,8/18/2019,831.02,Car,Male,OR,very_good
196996901,12/5/2019,11/6/2019,1123.43,Car,Male,CA,very_good
197529671,10/2/2019,9/3/2019,829.47,Truck,Male,CA,very_good
199530253,1/21/2019,12/27/2018,1333.26,Car,Male,CA,neutral
192257130,3/16/2019,3/12/2019,1224.01,Car,Male,CA,good
182646891,12/10/2019,12/8/2019,769.47,Car,Male,NV,bad
195732109,11/26/2019,11/24/2019,1142.42,Van,Male,CA,very_good
193974859,8/1/2019,7/3/2019,855.85,Truck,Female,CA,excellent
192639362,10/1/2019,8/29/2019,983.67,Car,Male,OR,bad
198744592,12/18/2019,11/20/2019,866.14,Car,Male,CA,very_good
184570819,3/24/2019,2/27/2019,893.69,Truck,Male,CA,good
180118791,10/1/2019,9/29/2019,776.07,Car,Male,CA,very_good
192954755,10/10/2019,9/7/2019,1030.59,Van,Female,OR,neutral
183152728,3/31/2019,3/6/2019,1056.62,Car,Female,CA,good
197917692,6/26/2019,6/13/2019,1149.17,Truck,Female,NV,good
183877504,7/6/2019,7/4/2019,1255.83,Van,Male,CA,bad
194257047,11/27/2019,11/14/2019,1090.73,Van,Male,OR,good
183490249,5/30/2019,5/18/2019,1283.19,Van,Male,NV,neutral
184578042,2/26/2019,1/24/2019,1189.64,Truck,Male,OR,bad
194842656,12/31/2019,12/13/2019,763.51,Truck,Female,NV,very_good
199484202,12/3/2019,11/9/2019,1084.43,Car,Female,CA,good
196208387,3/7/2019,2/2/2019,1006.87,Truck,Male,CA,neutral
198351903,11/7/2019,11/4/2019,806.53,Car,Male,NV,excellent
180669259,1/4/2019,12/4/2018,1013.44,Car,Male,CA,excellent
182452317,8/10/2019,7/16/2019,864.89,Car,Male,CA,good
189600601,7/31/2019,7/26/2019,1338.53,Car,Male,OR,neutral
192443329,11/23/2019,11/17/2019,1349.8,Truck,Female,CA,good
199890944,9/10/2019,8/28/2019,1207.1,Car,Male,CA,very_good
180123027,3/9/2019,2/4/2019,1261.79,Car,Male,CA,very_good
181179901,9/5/2019,9/4/2019,998.41,Car,Male,OR,bad
188444186,5/29/2019,5/2/2019,884.68,Car,Female,CA,neutral
191867545,6/5/2019,6/4/2019,1074.18,Van,Male,CA,neutral
197037155,1/2/2019,12/1/2018,951.17,Van,Female,NV,neutral
197003012,3/4/2019,2/20/2019,827.28,Van,Male,OR,neutral
181683152,5/13/2019,4/10/2019,1069.89,Car,Male,OR,very_good
183532492,9/27/2019,9/14/2019,1167.87,Car,Male,CA,very_good
182286416,7/15/2019,6/10/2019,900.46,Van,Male,OR,neutral
187220431,4/2/2019,3/16/2019,1021.76,Truck,Female,OR,neutral
197259492,8/2/2019,7/11/2019,829.68,Car,Male,NV,neutral
196630063,9/15/2019,9/5/2019,811.25,Truck,Male,OR,good
193530186,5/12/2019,4/24/2019,911.9,Car,Male,CA,excellent
185119588,6/10/2019,5/22/2019,822.7,Car,Male,NV,bad
182541217,9/22/2019,9/20/2019,1276.47,Van,Male,CA,good
194620908,12/23/2019,11/26/2019,822.76,Van,Male,CA,good
187882618,3/2/2019,2/26/2019,1002.21,Van,Male,CA,good
185543365,2/17/2019,2/9/2019,831.87,Van,Female,NV,good
195179594,10/21/2019,9/26/2019,984.96,Car,Female,CA,good
186915940,6/11/2019,6/8/2019,1234.72,Car,Male,CA,excellent
180628940,11/5/2019,10/21/2019,966.06,Truck,Male,OR,very_good
196528352,10/23/2019,10/5/2019,1112.02,Van,Male,OR,bad
182823761,4/30/2019,4/15/2019,1140.7,Truck,Female,OR,bad
186973311,8/9/2019,7/10/2019,1212.76,Van,Male,CA,good
187245521,10/29/2019,9/26/2019,1359.6,Truck,Female,CA,very_good
195946648,9/25/2019,9/15/2019,925.01,Car,Female,NV,neutral
185643152,11/17/2019,11/6/2019,1083.76,Truck,Male,CA,good
187276898,6/30/2019,6/8/2019,912.04,Car,Male,CA,good
186284069,4/14/2019,3/15/2019,999.22,Van,Male,NV,bad
186079952,12/3/2019,11/29/2019,1149.06,Car,Female,CA,very_good
196940355,4/20/2019,3/23/2019,1049.52,Truck,Female,OR,neutral
192991885,4/20/2019,4/10/2019,1109.21,Truck,Male,OR,excellent
192912416,12/18/2019,12/2/2019,1103.1,Truck,Male,CA,bad
194114297,10/5/2019,9/3/2019,1120.2,Car,Male,CA,neutral
197404856,10/16/2019,10/10/2019,1349.14,Truck,Male,OR,good
188142199,3/21/2019,3/13/2019,1268.05,Van,Female,CA,excellent
192818975,2/28/2019,1/24/2019,1172.14,Car,Female,NV,neutral
183444633,5/24/2019,5/22/2019,1316.53,Van,Female,CA,good
188444411,6/16/2019,5/20/2019,1320.43,Truck,Male,CA,very_good
195446763,10/21/2019,9/20/2019,987.83,Car,Male,OR,bad
188042625,8/18/2019,8/15/2019,1238.56,Truck,Female,NV,neutral
197075711,7/8/2019,6/22/2019,1325.98,Van,Male,OR,excellent
195715632,7/20/2019,6/28/2019,872.28,Car,Male,OR,good
193370669,6/15/2019,6/11/2019,806.62,Van,Male,CA,neutral
183769890,9/2/2019,8/26/2019,975.9,Car,Female,NV,good
181294692,8/8/2019,7/25/2019,841.38,Car,Male,NV,good
193544447,11/10/2019,10/26/2019,1235.23,Car,Male,CA,bad
189226339,5/6/2019,4/15/2019,1183.52,Van,Female,CA,good
182645003,9/28/2019,9/15/2019,1054.29,Car,Male,CA,neutral
196656166,11/22/2019,10/20/2019,818.46,Van,Female,CA,very_good
196038493,8/2/2019,7/30/2019,1194.74,Van,Female,OR,neutral
183025124,2/11/2019,1/23/2019,972.85,Truck,Female,CA,very_good
188677491,8/21/2019,8/13/2019,1112.94,Truck,Female,CA,good
197894563,4/8/2019,3/18/2019,1300.03,Van,Male,CA,good
188104579,1/5/2019,1/2/2019,1121.38,Truck,Male,CA,good
182734802,4/4/2019,3/20/2019,1107.59,Car,Male,OR,bad
187663225,2/1/2019,12/30/2018,863.41,Car,Female,OR,neutral
196076043,6/15/2019,5/27/2019,1120.53,Car,Male,OR,neutral
193838933,4/19/2019,4/15/2019,961.96,Truck,Male,CA,good
180368791,9/9/2019,8/25/2019,906.91,Truck,Male,CA,bad
198658300,12/25/2019,12/5/2019,993.27,Car,Male,NV,bad
187379165,1/31/2019,1/14/2019,1178.81,Van,Male,CA,excellent
195422566,10/27/2019,10/22/2019,909.62,Car,Male,NV,very_good
193533998,10/22/2019,10/14/2019,1249.35,Car,Female,CA,good
181593977,9/26/2019,8/31/2019,883.24,Car,Female,CA,neutral
180171862,9/3/2019,8/4/2019,1098.38,Van,Female,OR,excellent
185425018,3/1/2019,2/19/2019,1257.2,Car,Female,OR,very_good
189932445,7/30/2019,7/29/2019,887.94,Car,Female,CA,excellent
191195749,7/12/2019,6/30/2019,1207.44,Van,Male,CA,excellent
190771003,11/13/2019,10/9/2019,975.73,Car,Male,CA,excellent
192572690,3/19/2019,3/4/2019,1062.42,Van,Male,CA,bad
199278207,7/26/2019,6/28/2019,1199.16,Car,Male,NV,excellent
180358570,9/17/2019,8/27/2019,868.03,Van,Male,CA,very_good
194418495,3/4/2019,2/28/2019,949.64,Car,Female,CA,bad
196535044,7/1/2019,6/20/2019,1228.23,Truck,Female,OR,good
184706324,12/30/2019,12/4/2019,773.65,Car,Male,NV,good
192446542,1/16/2019,12/18/2018,1029.53,Truck,Male,CA,good
187586023,7/10/2019,6/26/2019,987.17,Truck,Male,OR,very_good
199000930,6/19/2019,6/15/2019,1317.17,Truck,Male,CA,neutral
181370715,10/27/2019,10/15/2019,1078.82,Car,Male,CA,very_good
199038654,9/16/2019,8/12/2019,1227.64,Car,Female,CA,bad
194129672,10/9/2019,9/19/2019,1065.84,Truck,Male,CA,good
182861471,12/5/2019,11/29/2019,982.69,Van,Male,CA,good
190968530,12/4/2019,11/5/2019,1231.08,Van,Male,OR,good
181628064,1/29/2019,1/18/2019,785.98,Van,Male,CA,neutral
193189422,10/12/2019,10/5/2019,1105.85,Car,Male,CA,good
191176657,11/29/2019,11/20/2019,1271.5,Car,Female,CA,bad
190083089,2/24/2019,2/12/2019,892.9,Car,Female,OR,very_good
189908839,11/7/2019,10/30/2019,1209.76,Van,Male,OR,very_good
183408682,3/28/2019,3/10/2019,844.5,Truck,Female,CA,neutral
183043355,5/15/2019,4/24/2019,1325.15,Truck,Male,CA,good
196233181,6/5/2019,5/16/2019,1030.63,Car,Female,CA,bad
187079558,12/16/2019,11/11/2019,1228.81,Van,Female,CA,excellent
189415993,5/25/2019,5/24/2019,987.14,Van,Female,OR,excellent
184827320,10/26/2019,10/18/2019,1255.49,Car,Female,NV,good
186951725,7/8/2019,6/11/2019,1271.98,Car,Female,NV,excellent
186302390,2/16/2019,2/4/2019,982.92,Car,Male,OR,very_good
182456690,5/14/2019,4/18/2019,838.88,Truck,Male,CA,excellent
186998188,6/18/2019,6/7/2019,916.39,Van,Female,CA,bad
185219524,12/15/2019,12/3/2019,820.85,Truck,Male,NV,good
180625066,9/11/2019,8/17/2019,1241.8,Car,Female,CA,good
192349433,7/29/2019,7/9/2019,1262.02,Van,Male,CA,very_good
193636722,12/2/2019,11/16/2019,1031.58,Van,Female,CA,very_good
194434126,12/18/2019,11/19/2019,1305.34,Van,Male,CA,very_good
194380855,12/7/2019,11/22/2019,1356.38,Van,Female,OR,good
184084281,9/26/2019,9/20/2019,777.98,Car,Male,OR,good
197086001,12/22/2019,12/7/2019,1159.45,Car,Male,OR,good
190476054,10/2/2019,8/31/2019,1294.28,Car,Male,OR,good
197027221,3/11/2019,3/2/2019,1252.81,Car,Male,NV,very_good
198357385,9/17/2019,8/26/2019,1206.52,Truck,Male,CA,very_good
182941849,8/23/2019,7/31/2019,1257.47,Van,Female,OR,good
195961441,1/4/2019,12/13/2018,1228.02,Car,Male,NV,excellent
195874491,11/21/2019,11/6/2019,1129.52,Car,Male,NV,good
187009213,10/7/2019,9/15/2019,1135.72,Van,Male,NV,good
193204647,10/4/2019,9/5/2019,1049.3,Car,Male,CA,very_good
182143846,3/1/2019,1/29/2019,841.88,Truck,Male,OR,very_good
188276005,3/5/2019,3/1/2019,923.07,Van,Male,NV,good
186823817,12/1/2019,11/29/2019,783.2,Van,Female,OR,neutral
185430253,12/1/2019,11/16/2019,1283.75,Van,Male,CA,good
185845577,7/9/2019,6/9/2019,1108.21,Van,Female,CA,good
184872817,9/2/2019,8/23/2019,1060.6,Car,Male,CA,excellent
190123596,12/6/2019,11/27/2019,964.38,Car,Male,OR,good
186987644,11/15/2019,11/8/2019,778.8,Truck,Female,CA,excellent
196915764,10/23/2019,9/26/2019,894,Van,Male,CA,bad
196158884,10/8/2019,9/14/2019,858.04,Car,Male,CA,neutral
185473863,8/25/2019,7/24/2019,1225.27,Truck,Male,NV,good
184962841,10/15/2019,9/26/2019,1085.83,Truck,Female,NV,very_good
180487154,1/30/2019,1/4/2019,1256.04,Car,Male,NV,very_good
187039586,2/23/2019,1/23/2019,1051.47,Van,Male,NV,very_good
191779404,8/11/2019,7/31/2019,785.4,Car,Male,CA,good
187680610,3/8/2019,2/12/2019,928.59,Truck,Female,CA,very_good
189046858,4/1/2019,3/29/2019,780.84,Van,Male,CA,bad
198251179,10/20/2019,10/3/2019,969.66,Car,Male,NV,neutral
185905076,4/9/2019,3/6/2019,987.81,Car,Female,OR,good
185749927,9/8/2019,8/6/2019,1348.51,Car,Male,OR,good
192774682,10/30/2019,10/22/2019,1323.18,Car,Male,CA,good
184281785,12/12/2019,11/28/2019,1162.31,Car,Female,CA,good
186888448,9/8/2019,9/5/2019,1282.97,Truck,Female,NV,good
190172280,7/20/2019,6/19/2019,896.99,Car,Female,OR,good
190163066,2/26/2019,2/12/2019,813.86,Car,Male,CA,good
180686734,2/27/2019,2/7/2019,1244.33,Car,Female,CA,neutral
199677909,7/28/2019,7/3/2019,989.72,Car,Male,CA,good
198895452,1/31/2019,1/20/2019,777.33,Van,Female,CA,good
196279895,12/11/2019,11/16/2019,932.43,Truck,Male,NV,good
193632932,11/26/2019,11/12/2019,1205.29,Car,Male,CA,very_good
189148304,6/12/2019,5/21/2019,820.46,Van,Male,NV,very_good
184896749,12/7/2019,12/4/2019,804.36,Truck,Male,OR,good
186185006,6/28/2019,6/6/2019,806.78,Car,Male,OR,good
194444162,9/10/2019,8/24/2019,1309.66,Van,Male,CA,neutral
196658092,9/12/2019,9/8/2019,1105.82,Car,Male,NV,very_good
197435424,1/13/2019,12/19/2018,784.98,Van,Female,CA,very_good
183451121,5/9/2019,4/28/2019,1327.77,Truck,Female,CA,good
182372978,8/23/2019,7/22/2019,905.87,Van,Female,CA,good
192035750,12/14/2019,12/1/2019,1173.61,Car,Male,OR,very_good
195236965,10/18/2019,9/24/2019,1162.6,Car,Male,CA,neutral
195490455,4/9/2019,3/18/2019,1167.08,Van,Male,CA,good
181932668,5/21/2019,5/12/2019,1312.21,Car,Male,CA,very_good
194331378,6/2/2019,5/7/2019,789.38,Car,Female,CA,very_good
192135892,6/26/2019,6/5/2019,837.12,Truck,Male,CA,very_good
194271281,9/11/2019,8/8/2019,1233.87,Truck,Male,CA,excellent
180301782,6/5/2019,5/7/2019,1129.16,Van,Male,CA,good
194065357,2/26/2019,2/14/2019,1356.55,Car,Female,CA,very_good
198630384,10/23/2019,10/16/2019,999.13,Car,Male,OR,good
187847568,10/8/2019,9/17/2019,1132.92,Car,Female,CA,excellent
180252887,2/25/2019,2/2/2019,810.43,Van,Female,CA,good
185299939,8/13/2019,7/16/2019,899.05,Truck,Male,CA,good
185252690,12/13/2019,11/22/2019,1169.44,Truck,Male,CA,neutral
198374813,2/18/2019,1/15/2019,946.29,Van,Male,CA,very_good
194855874,7/18/2019,6/25/2019,784.4,Car,Female,CA,neutral
195160390,6/8/2019,5/12/2019,782.62,Car,Male,CA,neutral
180517001,12/16/2019,11/14/2019,995.33,Van,Male,CA,bad
186718169,3/23/2019,3/1/2019,883.41,Car,Female,CA,good
198392857,6/22/2019,6/7/2019,1105.66,Car,Male,CA,very_good
196081077,5/23/2019,4/19/2019,956.07,Van,Male,CA,neutral
183744681,8/9/2019,7/27/2019,884.36,Car,Female,CA,good
187133987,6/16/2019,6/3/2019,879.66,Truck,Female,NV,bad
188076267,11/13/2019,11/3/2019,878.59,Truck,Female,OR,good
182198729,8/30/2019,8/17/2019,1127.44,Truck,Male,NV,bad
183868482,5/24/2019,5/3/2019,1174.97,Car,Male,CA,neutral
197535489,8/18/2019,7/30/2019,1199.3,Car,Female,OR,excellent
180057492,6/26/2019,6/22/2019,859.31,Truck,Male,CA,very_good
185243481,8/27/2019,8/4/2019,817.96,Van,Male,NV,good
188213733,4/23/2019,3/19/2019,867.52,Truck,Male,NV,neutral
189583195,12/4/2019,11/9/2019,1217.65,Van,Male,OR,good
180464284,12/4/2019,11/12/2019,835.62,Van,Male,NV,neutral
194787280,6/18/2019,5/26/2019,1146.36,Truck,Female,OR,good
192117889,9/30/2019,8/30/2019,1361.05,Car,Female,CA,bad
180715072,2/10/2019,1/28/2019,773.49,Car,Male,CA,good
192610860,12/18/2019,12/10/2019,1232.77,Car,Female,NV,good
197853048,12/12/2019,11/23/2019,1343.08,Car,Female,OR,good
193124710,7/11/2019,6/20/2019,1218.98,Truck,Female,CA,bad
191911823,11/19/2019,11/10/2019,1060.99,Truck,Female,CA,very_good
198864962,2/26/2019,2/1/2019,1188.59,Car,Female,CA,neutral
183933982,6/8/2019,5/30/2019,1258.34,Van,Female,CA,neutral
182354590,6/25/2019,5/29/2019,1082.17,Car,Male,NV,very_good
199990880,10/7/2019,9/10/2019,1109.94,Van,Male,OR,very_good
198930759,4/2/2019,3/26/2019,881.32,Truck,Female,CA,very_good
193143217,10/9/2019,9/4/2019,1124.08,Truck,Male,OR,good
196636634,9/22/2019,8/23/2019,791.54,Van,Male,OR,excellent
191611659,5/4/2019,4/17/2019,928.65,Truck,Male,CA,bad
182484734,1/30/2019,1/6/2019,1179.65,Car,Female,NV,very_good
199046243,11/14/2019,11/8/2019,1251.47,Van,Male,OR,bad
188107862,1/4/2019,12/4/2018,886.86,Truck,Male,CA,neutral
180137502,9/17/2019,8/27/2019,1213.21,Van,Female,NV,good
193751791,2/24/2019,2/6/2019,1195.8,Car,Female,OR,good
190714623,1/27/2019,1/6/2019,1015.29,Car,Male,CA,excellent
195932277,12/27/2019,12/9/2019,1294.32,Car,Male,OR,very_good
198466690,8/24/2019,7/24/2019,912.18,Car,Female,NV,bad
185961107,10/13/2019,9/16/2019,864.26,Car,Female,CA,neutral
198063171,10/11/2019,9/7/2019,1326.09,Car,Male,OR,bad
185942221,5/2/2019,4/21/2019,943.99,Truck,Male,CA,good
191474632,11/9/2019,10/23/2019,1133.27,Van,Female,CA,bad
187374091,8/29/2019,7/27/2019,1005.6,Car,Female,NV,good
195682536,9/14/2019,9/8/2019,797.77,Van,Female,OR,very_good
194230530,2/21/2019,2/2/2019,823.02,Car,Male,CA,good
199237463,3/25/2019,2/22/2019,864.64,Van,Female,NV,very_good
190914846,12/10/2019,12/3/2019,1348.68,Van,Male,OR,very_good
181976362,8/2/2019,7/25/2019,1242.32,Car,Male,CA,good
198621547,10/3/2019,9/30/2019,1060.03,Truck,Male,CA,very_good
197959634,2/26/2019,2/24/2019,1192,Car,Male,OR,neutral
190060053,12/24/2019,12/9/2019,1073.19,Car,Male,OR,neutral
189691744,3/5/2019,2/16/2019,902.43,Car,Male,CA,bad
182611283,5/1/2019,4/28/2019,1277.25,Truck,Male,NV,very_good
198274419,10/14/2019,9/19/2019,992.57,Car,Male,CA,good
191096923,2/23/2019,1/23/2019,1047.7,Truck,Male,CA,good
192893158,3/5/2019,3/3/2019,1054.13,Van,Male,CA,bad
182127517,10/26/2019,10/16/2019,1005.02,Car,Male,CA,bad
183928415,9/29/2019,8/31/2019,907.04,Van,Female,CA,neutral
198386190,1/1/2019,12/7/2018,1138.9,Car,Male,CA,neutral
193292686,3/16/2019,2/27/2019,1290.7,Truck,Male,OR,good
190688127,7/8/2019,7/3/2019,916.43,Car,Female,CA,excellent
188317633,9/4/2019,9/2/2019,955.21,Car,Male,NV,very_good
186991324,8/9/2019,8/6/2019,1077.59,Van,Male,NV,neutral
199865988,7/13/2019,7/8/2019,1292.52,Van,Male,NV,good
195114837,2/5/2019,1/17/2019,1364.16,Truck,Male,OR,neutral
185435691,10/18/2019,10/15/2019,1258.26,Car,Male,CA,bad
183990616,1/21/2019,1/20/2019,944.18,Car,Male,OR,bad
180288009,12/14/2019,12/5/2019,927.56,Van,Female,CA,excellent
191131598,10/22/2019,9/17/2019,886.79,Van,Male,NV,good
184596131,12/19/2019,11/30/2019,1171.62,Car,Male,CA,excellent
196195289,9/22/2019,9/14/2019,974.27,Car,Male,CA,good
191064339,4/26/2019,4/20/2019,985.34,Car,Male,OR,neutral
181779342,1/15/2019,1/6/2019,1271.96,Van,Male,CA,neutral
192919207,10/10/2019,9/25/2019,1122.9,Car,Male,OR,good
183741101,2/3/2019,1/17/2019,1158.44,Van,Female,OR,good
183481835,11/15/2019,11/14/2019,950.39,Truck,Male,CA,very_good
192877561,10/22/2019,10/14/2019,1129.2,Van,Male,CA,good
198664254,7/25/2019,7/9/2019,903.69,Van,Male,OR,neutral
194893660,12/22/2019,12/21/2019,1320.98,Van,Male,OR,excellent
182302548,8/17/2019,8/2/2019,1323.26,Car,Female,NV,neutral
181093398,6/3/2019,5/18/2019,1322.87,Car,Male,CA,very_good
189630255,7/29/2019,7/16/2019,857.64,Car,Male,OR,excellent
185839964,3/1/2019,2/22/2019,1268.63,Car,Male,CA,neutral
187729363,4/3/2019,3/12/2019,1042.04,Car,Male,CA,good
186801144,12/21/2019,12/18/2019,1336.6,Truck,Male,CA,very_good
188305791,8/12/2019,7/19/2019,1195.89,Van,Male,OR,neutral
190019786,11/14/2019,10/27/2019,959.89,Car,Male,NV,very_good
193395817,10/1/2019,9/2/2019,946.72,Car,Male,OR,good
188830336,1/14/2019,12/15/2018,1001.35,Van,Female,OR,very_good
196671612,6/17/2019,6/1/2019,955.44,Car,Female,CA,good
188452889,12/5/2019,11/10/2019,1174.15,Van,Male,OR,neutral
197645487,5/22/2019,5/20/2019,1122.15,Car,Male,OR,very_good
192181777,4/24/2019,3/24/2019,1227.48,Truck,Female,NV,bad
184883016,2/19/2019,1/23/2019,1104.46,Van,Male,NV,neutral
184859845,3/21/2019,3/8/2019,1237.99,Van,Female,CA,good
183021468,10/25/2019,9/20/2019,1361.56,Truck,Male,NV,good
188386288,2/8/2019,2/5/2019,864.75,Car,Male,NV,neutral
184465492,12/17/2019,11/26/2019,817.76,Car,Male,OR,neutral
196529560,8/7/2019,7/24/2019,1216.15,Truck,Female,OR,very_good
180387069,3/19/2019,3/10/2019,1327.64,Car,Male,OR,neutral
193326108,12/18/2019,11/17/2019,1289.53,Van,Female,OR,very_good
180855812,10/11/2019,9/17/2019,854.05,Van,Female,CA,bad
187800555,3/10/2019,2/17/2019,775.4,Van,Male,CA,neutral
185444412,10/11/2019,9/14/2019,786.11,Van,Male,NV,excellent
193158042,6/4/2019,5/30/2019,1197.99,Car,Male,OR,bad
186606390,12/14/2019,11/26/2019,1310.63,Car,Female,NV,very_good
191431722,7/28/2019,7/12/2019,1019.11,Car,Male,OR,excellent
